,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title
6313,Latina,84.0,0,2.0,0,140000,0.0,1.0,0.0,0,"Estudio en venta en Aluche, Latina, Madrid"
6314,Los Cármenes,100.0,2,1.0,4,390000,1.0,1.0,1.0,1,"Ático en venta en calle Concejal Francisco José Jiménez Martín, 26, Los Cármenes, Madrid"
6315,Los Cármenes,105.0,3,1.0,0,230000,1.0,1.0,0.0,1,"calle Concejal Francisco José Jiménez Martín, 110, Los Cármenes, Madrid"
6316,Latina,91.0,3,2.0,0,170000,0.0,0.0,0.0,0,"Los Cármenes, Latina, Madrid"
6317,Los Cármenes,140.0,4,2.0,9,450000,1.0,1.0,1.0,0,"avenida del Manzanares, 52, Los Cármenes, Madrid"
6318,Aluche,220.0,5,2.0,2,470000,1.0,1.0,1.0,1,"calle de Maqueda, 60, Aluche, Madrid"
6319,Puerta del Ángel,86.0,3,2.0,8,305000,1.0,1.0,0.0,1,"avenida de Portugal, 177, Puerta del Ángel, Madrid"
6320,Lucero,72.0,3,1.0,0,134000,0.0,1.0,0.0,0,"paseo de Extremadura, 244, Lucero, Madrid"
6322,Latina,67.0,3,1.0,2,145000,0.0,1.0,0.0,1,"Águilas, Latina, Madrid"
6323,Los Cármenes,80.0,2,1.0,4,149000,1.0,1.0,0.0,0,"Dúplex en venta en calle de Gallur, 108, Los Cármenes, Madrid"
6324,Puerta del Ángel,70.0,2,1.0,0,109000,0.0,1.0,0.0,0,"calle Sagrados Corazones, 17, Puerta del Ángel, Madrid"
6328,Águilas,80.0,3,2.0,7,215000,1.0,1.0,1.0,1,"calle de Blas Cabrera, 135, Águilas, Madrid"
6329,Aluche,103.0,4,2.0,8,240000,1.0,1.0,1.0,0,"calle de Maqueda, 149, Aluche, Madrid"
6330,Águilas,90.0,3,1.0,6,195000,1.0,1.0,0.0,1,"avenida de la Aviación, 111, Águilas, Madrid"
6331,Latina,62.0,3,1.0,5,149000,0.0,1.0,0.0,0,"Águilas, Latina, Madrid"
6332,Puerta del Ángel,60.0,3,1.0,0,149000,0.0,1.0,0.0,0,"paseo DE LOS OLIVOS, Puerta del Ángel, Madrid"
6333,Los Cármenes,63.0,2,1.0,1,145000,1.0,1.0,0.0,0,"calle de Escalonilla, Los Cármenes, Madrid"
6334,Puerta del Ángel,70.0,2,1.0,1,178000,1.0,1.0,0.0,0,"calle de Ampelido, Puerta del Ángel, Madrid"
6335,Puerta del Ángel,88.0,3,2.0,4,317000,1.0,1.0,1.0,0,"avenida de Portugal, Puerta del Ángel, Madrid"
6336,Aluche,78.0,2,1.0,4,99900,0.0,1.0,1.0,0,"calle Abejuela, Aluche, Madrid"
6337,Latina,83.0,3,1.0,2,219000,1.0,1.0,0.0,0,"Aluche, Latina, Madrid"
6338,Latina,128.0,3,2.0,2,240000,0.0,1.0,1.0,0,"Los Cármenes, Latina, Madrid"
6339,Puerta del Ángel,31.0,0,1.0,2,99900,0.0,1.0,1.0,0,"Estudio en venta en calle de Pericles, 31, Puerta del Ángel, Madrid"
6340,Latina,76.0,2,1.0,3,240000,1.0,1.0,1.0,0,"Puerta del Ángel, Latina, Madrid"
6341,Aluche,75.0,3,1.0,3,123200,1.0,1.0,0.0,0,"calle de Camarena, Aluche, Madrid"
6342,Campamento,60.0,2,1.0,0,160000,0.0,1.0,0.0,0,"calle Carracedo, 23, Campamento, Madrid"
6343,Latina,58.0,2,1.0,1,168000,0.0,1.0,0.0,0,"Puerta del Ángel, Latina, Madrid"
6345,Puerta del Ángel,70.0,1,1.0,0,185000,1.0,1.0,1.0,0,"calle Jaime Tercero, 45, Puerta del Ángel, Madrid"
6347,Puerta del Ángel,50.0,2,1.0,4,114000,0.0,1.0,1.0,0,"costanilla de los Olivos, Puerta del Ángel, Madrid"
6348,Campamento,148.0,4,3.0,3,359000,1.0,1.0,1.0,0,"paseo Húsares, 4 3ºB, Campamento, Madrid"
6349,Puerta del Ángel,30.0,0,1.0,0,158000,0.0,1.0,0.0,1,"Estudio en venta en calle de la Huerta de Castañeda, 19, Puerta del Ángel, Madrid"
6350,Lucero,220.0,0,1.0,0,160000,0.0,1.0,0.0,0,"Estudio en venta en calle del Palmípedo, 19, Lucero, Madrid"
6351,Águilas,82.0,3,1.0,0,163999,1.0,1.0,0.0,0,"calle de la Maestra Justa Freire, 24, Águilas, Madrid"
6352,Puerta del Ángel,60.0,2,1.0,3,198000,0.0,1.0,0.0,0,"calle Ramiro Molina, 27, Puerta del Ángel, Madrid"
6353,Lucero,52.0,2,1.0,3,101890,0.0,1.0,0.0,0,"Sepulveda, 138, Lucero, Madrid"
6356,Latina,71.0,3,1.0,0,120000,0.0,1.0,0.0,0,"Puerta del Ángel, Latina, Madrid"
6359,Latina,30.0,0,1.0,2,99900,0.0,1.0,0.0,0,"Estudio en venta en Puerta del Ángel, Latina, Madrid"
6360,Campamento,80.0,3,1.0,4,139000,0.0,1.0,1.0,0,"calle Villacarriedo, 6, Campamento, Madrid"
6361,Latina,128.0,4,2.0,1,198000,1.0,1.0,1.0,0,"Lucero, Latina, Madrid"
6362,Puerta del Ángel,42.0,2,1.0,1,165000,0.0,1.0,0.0,0,"calle de Doña Urraca, Puerta del Ángel, Madrid"
6363,Campamento,65.0,3,1.0,4,130000,0.0,1.0,0.0,0,"Campoflorido, Campamento, Madrid"
6364,Lucero,70.0,3,1.0,3,150000,1.0,1.0,1.0,0,"Villavaliente, Lucero, Madrid"
6365,Aluche,79.0,4,2.0,0,183000,1.0,1.0,1.0,0,"calle de Ocaña, Aluche, Madrid"
6366,Puerta del Ángel,50.0,2,1.0,1,168000,0.0,1.0,0.0,0,"La Milagrosa, Puerta del Ángel, Madrid"
6367,Puerta del Ángel,71.0,3,1.0,0,120000,1.0,1.0,0.0,0,"paseo Perales, Puerta del Ángel, Madrid"
6368,Latina,44.0,1,1.0,3,125000,1.0,1.0,0.0,0,"Los Cármenes, Latina, Madrid"
6369,Latina,39.0,0,1.0,3,134000,1.0,1.0,1.0,0,"Ático en venta en Urb. pueta del angel, Puerta del Ángel, Latina, Madrid"
