,subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,has_lift,is_exterior,has_terrace,has_parking,full_title,years_of_saving_for_26_35,years_of_saving_for_36_45,years_of_saving_for_46_55,years_of_saving_for_56_65
16201,Barrio de Salamanca,140.0,3,3.0,1,1475000,1.0,1.0,0.0,0,"Recoletos, Barrio de Salamanca, Madrid",71.56074014481094,113.02414231257941,41.33364312267658,14.430564568462037
16202,Barrio de Salamanca,206.0,4,3.0,2,765000,1.0,1.0,0.0,0,"Goya, Barrio de Salamanca, Madrid",37.28881737731295,58.89453621346887,21.53810408921933,7.519467878001298
16203,Barrio de Salamanca,105.0,2,2.0,2,419000,1.0,1.0,0.0,1,"Guindalera, Barrio de Salamanca, Madrid",20.587288817377313,32.515883100381195,11.891263940520446,4.151524983776769
16204,Barrio de Salamanca,404.0,5,6.0,2,4350000,1.0,1.0,0.0,0,"Recoletos, Barrio de Salamanca, Madrid",210.33789219629926,332.21092757306224,121.49163568773234,42.41563919532771
16205,Barrio de Salamanca,163.0,2,2.0,5,1190000,1.0,1.0,0.0,0,"Castellana, Barrio de Salamanca, Madrid",57.80370072405471,91.29606099110546,33.38754646840149,11.656391953277092
16206,Barrio de Salamanca,352.0,5,4.0,3,1990000,1.0,1.0,0.0,0,"Goya, Barrio de Salamanca, Madrid",96.41995172968625,152.287166454892,55.69237918215613,19.443543153796234
16207,Barrio de Salamanca,62.0,1,2.0,1,550000,1.0,0.0,1.0,0,"Recoletos, Barrio de Salamanca, Madrid",26.910699919549476,42.50317662007624,15.543680297397769,5.426670992861778
16208,Barrio de Salamanca,378.0,4,5.0,8,5500000,1.0,1.0,1.0,1,"Castellana, Barrio de Salamanca, Madrid",265.8487530168946,419.8856416772554,153.55483271375465,53.609669046073975
16209,Barrio de Salamanca,125.0,2,2.0,3,1250000,1.0,1.0,0.0,0,"Castellana, Barrio de Salamanca, Madrid",60.69991954947707,95.87039390088945,35.06040892193309,12.240428293316029
16210,Barrio de Salamanca,227.0,6,2.0,6,1280000,1.0,1.0,1.0,1,"Lista, Barrio de Salamanca, Madrid",62.148028962188256,98.15756035578144,35.896840148698885,12.532446463335496
16211,Barrio de Salamanca,157.0,2,2.0,3,1200000,1.0,1.0,0.0,0,"Lista, Barrio de Salamanca, Madrid",58.286403861625104,92.0584498094028,33.66635687732342,11.753731343283581
16212,Barrio de Salamanca,66.0,2,1.0,3,495000,1.0,0.0,0.0,0,"Lista, Barrio de Salamanca, Madrid",24.255832662912308,38.31003811944092,14.010223048327138,4.891304347826087
16213,Barrio de Salamanca,151.0,3,2.0,6,915000,1.0,1.0,0.0,0,"Lista, Barrio de Salamanca, Madrid",44.52936444086887,70.33036848792884,25.720260223048328,8.979558728098636
16214,Barrio de Salamanca,109.0,2,2.0,4,800000,1.0,1.0,0.0,0,"Goya, Barrio de Salamanca, Madrid",38.978278358809334,61.56289707750953,22.513940520446095,7.86015574302401
16215,Barrio de Salamanca,74.0,1,1.0,2,475000,1.0,1.0,0.0,0,"Lista, Barrio de Salamanca, Madrid",23.29042638777152,36.785260482846255,13.452602230483272,4.696625567813109
16216,Barrio de Salamanca,530.0,6,6.0,2,3750000,1.0,1.0,0.0,1,"Dúplex en venta en Goya, Barrio de Salamanca, Madrid",181.37570394207563,286.46759847522236,104.76301115241635,36.57527579493835
16217,Goya,160.0,3,3.0,3,1300000,1.0,1.0,0.0,1,"Goya, Goya, Madrid",63.11343523732904,99.6823379923761,36.454460966542754,12.727125243348475
